symptom,indikation,pflanze,channel,matches
Angst,nervöse Unruhe,Johanniskraut,evidenz_basiert,2
Beschwerden beim Wasserlassen,Reizblase,Kürbis,evidenz_basiert,2
Beschwerden der ableitenden Harnwege,Reizblase,Kürbis,traditionell_hmpc,2
Blähungen,vermehrte Schweißsekretion,Salbei,evidenz_basiert,2
Blähungen,vermehrte Schweißsekretion,Salbei,traditionell_hmpc,2
Einschlafstörungen,nervöse Unruhe,Johanniskraut,traditionell_hmpc,2
Entzündungen im Mund- und Rachenbereich,vermehrte Schweißsekretion,Salbei,traditionell_hmpc,2
Harnverhalten,Reizblase,Kürbis,evidenz_basiert,2
Hautentzündungen,nervöse Unruhe,Johanniskraut,traditionell_hmpc,2
Hitzewallungen,vermehrte Schweißsekretion,Salbei,evidenz_basiert,2
Husten,Erkältungskrankheiten,Linde,evidenz_basiert,2
Magen-Darm-Beschwerden,nervöse Unruhe,Johanniskraut,traditionell_hmpc,2
Miktionsbeschwerden,Reizblase,Kürbis,evidenz_basiert,2
Muskelkater,Blutergüsse,Arnika,evidenz_basiert,2
Muskelkater,Blutergüsse,Arnika,traditionell_hmpc,2
Muskelkater,Verstauchungen,Arnika,evidenz_basiert,2
Muskelkater,Verstauchungen,Arnika,traditionell_hmpc,2
Muskelschmerzen,Blutergüsse,Arnika,evidenz_basiert,2
Muskelschmerzen,Verstauchungen,Arnika,evidenz_basiert,2
Restharnbildung,Reizblase,Kürbis,evidenz_basiert,2
Sodbrennen,vermehrte Schweißsekretion,Salbei,evidenz_basiert,2
Sodbrennen,vermehrte Schweißsekretion,Salbei,traditionell_hmpc,2
Sonnenbrand,kleine Wunden,Ringelblume,traditionell_hmpc,2
depressive Verstimmung,nervöse Unruhe,Johanniskraut,evidenz_basiert,2
häufige Blasenentleerung,Reizblase,Kürbis,evidenz_basiert,2
leichte Entzündungen der Haut,kleine Wunden,Ringelblume,traditionell_hmpc,2
leichte Hautentzündungen,vermehrte Schweißsekretion,Salbei,traditionell_hmpc,2
leichte Kreislaufbeschwerden,dyspeptische Beschwerden,Rosmarin,traditionell_hmpc,2
leichte Muskel- und Gelenkschmerzen,dyspeptische Beschwerden,Rosmarin,traditionell_hmpc,2
leichte Stresssymptome,Erkältungskrankheiten,Linde,traditionell_hmpc,2
leichte krampfartige Magen-Darm-Beschwerden,dyspeptische Beschwerden,Rosmarin,traditionell_hmpc,2
nervöse Unruhe,nervöse Unruhe,Johanniskraut,evidenz_basiert,2
nervöse Unruhe,nervöse Unruhe,Johanniskraut,traditionell_hmpc,2
nächtlicher Harndrang,Reizblase,Kürbis,evidenz_basiert,2
nächtlicher und unwillkürlicher Harnabgang,Reizblase,Kürbis,evidenz_basiert,2
schmerzhaftes Wasserlassen,Reizblase,Kürbis,evidenz_basiert,2
vermehrte Schweißsekretion,vermehrte Schweißsekretion,Salbei,traditionell_hmpc,2
übermäßiges Schwitzen,vermehrte Schweißsekretion,Salbei,evidenz_basiert,2
Angespanntheit,Angespanntheit,Passionsblume,evidenz_basiert,1
Angespanntheit,Einschlafstörungen,Passionsblume,evidenz_basiert,1
Angespanntheit,Linderung leichter Stresssymptome,Passionsblume,evidenz_basiert,1
Angespanntheit,Reizbarkeit,Passionsblume,evidenz_basiert,1
Angespanntheit,Schlafhilfe,Passionsblume,evidenz_basiert,1
Angespanntheit,nervöse Unruhezustände,Passionsblume,evidenz_basiert,1
Angst,Angst,Johanniskraut,evidenz_basiert,1
Angst,Einschlafstörungen,Johanniskraut,evidenz_basiert,1
Angst,Heilung kleiner Wunden,Johanniskraut,evidenz_basiert,1
Angst,depressive Verstimmungszustände,Johanniskraut,evidenz_basiert,1
Angst,leichte Magen-Darm-Beschwerden,Johanniskraut,evidenz_basiert,1
Angst,leichte depressive Episoden,Johanniskraut,evidenz_basiert,1
Angst,leichte depressive Verstimmung,Johanniskraut,evidenz_basiert,1
Angst,leichte und mittelschwere Depressionen,Johanniskraut,evidenz_basiert,1
Angst,mentale Erschöpfungszustände,Johanniskraut,evidenz_basiert,1
Angst,psychovegetative Störungen,Johanniskraut,evidenz_basiert,1
Angst,symptomatische Behandlung leichter Hautentzündungen,Johanniskraut,evidenz_basiert,1
Angst,zeitweilige mentale Erschöpfung,Johanniskraut,evidenz_basiert,1
Angstzustände,Angstzustände,Hopfen,evidenz_basiert,1
Angstzustände,Befindensstörungen,Hopfen,evidenz_basiert,1
Angstzustände,Besserung leichter Stresssymptome,Hopfen,evidenz_basiert,1
Angstzustände,Besserung von Schlafstörungen (Kombination mit Baldrianwurzel),Hopfen,evidenz_basiert,1
Angstzustände,Nervosität,Hopfen,evidenz_basiert,1
Angstzustände,Schlafhilfe,Hopfen,evidenz_basiert,1
Angstzustände,Schlafstörungen,Hopfen,evidenz_basiert,1
Angstzustände,Unruhe,Hopfen,evidenz_basiert,1
Appetitlosigkeit,Anregung der Diurese,Löwenzahn,traditionell_hmpc,1
Appetitlosigkeit,Appetitlosigkeit,Löwenzahn,traditionell_hmpc,1
Appetitlosigkeit,Appetitlosigkeit,Schafgarbe,evidenz_basiert,1
Appetitlosigkeit,Appetitlosigkeit,Schafgarbe,traditionell_hmpc,1
Appetitlosigkeit,Appetitlosigkeit,Teufelskralle,evidenz_basiert,1
Appetitlosigkeit,Appetitlosigkeit,Teufelskralle,traditionell_hmpc,1
Appetitlosigkeit,"Behandlung kleiner, oberflächlicher Wunden",Schafgarbe,evidenz_basiert,1
Appetitlosigkeit,"Behandlung kleiner, oberflächlicher Wunden",Schafgarbe,traditionell_hmpc,1
Appetitlosigkeit,Behandlung leichter krampfartiger Beschwerden im Magen-Darm-Bereich,Schafgarbe,evidenz_basiert,1
Appetitlosigkeit,Behandlung leichter krampfartiger Beschwerden im Magen-Darm-Bereich,Schafgarbe,traditionell_hmpc,1
Appetitlosigkeit,Besserung leichter Verdauungsbeschwerden,Löwenzahn,traditionell_hmpc,1
Appetitlosigkeit,Besserung von Verdauungsstörungen,Teufelskralle,evidenz_basiert,1
Appetitlosigkeit,Besserung von Verdauungsstörungen,Teufelskralle,traditionell_hmpc,1
Appetitlosigkeit,Durchspülung der Harnwege,Löwenzahn,traditionell_hmpc,1
Appetitlosigkeit,Erhöhung der Harnmenge,Löwenzahn,traditionell_hmpc,1
Appetitlosigkeit,Osteoarthritis,Teufelskralle,evidenz_basiert,1
Appetitlosigkeit,Osteoarthritis,Teufelskralle,traditionell_hmpc,1
Appetitlosigkeit,Pelvipathia vegetativa,Schafgarbe,evidenz_basiert,1
Appetitlosigkeit,Pelvipathia vegetativa,Schafgarbe,traditionell_hmpc,1
Appetitlosigkeit,Rheumatismus,Löwenzahn,traditionell_hmpc,1
Appetitlosigkeit,Rückenschmerzen,Teufelskralle,evidenz_basiert,1
Appetitlosigkeit,Rückenschmerzen,Teufelskralle,traditionell_hmpc,1
Appetitlosigkeit,Störungen des Gallenflusses,Löwenzahn,traditionell_hmpc,1
Appetitlosigkeit,Verhütung von Nierensteinen,Löwenzahn,traditionell_hmpc,1
Appetitlosigkeit,Wiederherstellung der Leber- und Gallefunktion,Löwenzahn,traditionell_hmpc,1
Appetitlosigkeit,degenerative Erkrankungen des Bewegungsapparates,Teufelskralle,evidenz_basiert,1
Appetitlosigkeit,degenerative Erkrankungen des Bewegungsapparates,Teufelskralle,traditionell_hmpc,1
Appetitlosigkeit,dyspeptische Beschwerden,Löwenzahn,traditionell_hmpc,1
Appetitlosigkeit,dyspeptische Beschwerden,Schafgarbe,evidenz_basiert,1
Appetitlosigkeit,dyspeptische Beschwerden,Schafgarbe,traditionell_hmpc,1
Appetitlosigkeit,dyspeptische Beschwerden,Teufelskralle,evidenz_basiert,1
Appetitlosigkeit,dyspeptische Beschwerden,Teufelskralle,traditionell_hmpc,1
Appetitlosigkeit,kleine Wunden,Schafgarbe,evidenz_basiert,1
Appetitlosigkeit,kleine Wunden,Schafgarbe,traditionell_hmpc,1
Appetitlosigkeit,krampfartige Beschwerden im Unterleib,Schafgarbe,evidenz_basiert,1
Appetitlosigkeit,krampfartige Beschwerden im Unterleib,Schafgarbe,traditionell_hmpc,1
