symptom,indikation,pflanze,channel,matches
Entzündungen im Mund- und Rachenbereich,vermehrte Schweißsekretion,Salbei,traditionell_hmpc,2
Harnverhalten,Reizblase,Kürbis,evidenz_basiert,2
Blähungen,Entzündungen der Mundschleimhaut,Salbei,evidenz_basiert,1
Blähungen,Entzündungen der Mundschleimhaut,Salbei,traditionell_hmpc,1
Blähungen,Entzündungen im Mund- und Rachenraum,Kamille,traditionell_hmpc,1
Blähungen,Infektionen der Mundschleimhaut,Salbei,evidenz_basiert,1
Blähungen,Infektionen der Mundschleimhaut,Salbei,traditionell_hmpc,1
Blähungen,Mundschleimhautentzündung,Salbei,evidenz_basiert,1
Blähungen,Mundschleimhautentzündung,Salbei,traditionell_hmpc,1
Blähungen,Mundschleimhautentzündungen,Pfefferminze,evidenz_basiert,1
Blähungen,Mundschleimhautentzündungen,Pfefferminze,traditionell_hmpc,1
Blähungen,symptomatische Behandlung von Entzündungen im Mund- und Rachenbereich,Salbei,evidenz_basiert,1
Blähungen,symptomatische Behandlung von Entzündungen im Mund- und Rachenbereich,Salbei,traditionell_hmpc,1
Brennen,Entzündungen der Mundschleimhaut,Hamamelis,evidenz_basiert,1
Brennen,Entzündungen der Mundschleimhaut,Hamamelis,traditionell_hmpc,1
Brennen,leichte Entzündungen der Mundschleimhaut,Hamamelis,evidenz_basiert,1
Brennen,leichte Entzündungen der Mundschleimhaut,Hamamelis,traditionell_hmpc,1
Brennen,leichte Entzündungen im Mund- und Rachenbereich,Eiche,traditionell_hmpc,1
Durchfall,leichte Entzündungen im Mund- und Rachenbereich,Eiche,traditionell_hmpc,1
Entzündungen im Mund- und Rachenbereich,Behandlung leichter Hautentzündungen,Salbei,traditionell_hmpc,1
Entzündungen im Mund- und Rachenbereich,Blähungen,Salbei,traditionell_hmpc,1
Entzündungen im Mund- und Rachenbereich,Entzündungen der Mundschleimhaut,Salbei,traditionell_hmpc,1
Entzündungen im Mund- und Rachenbereich,Entzündungen der Rachenschleimhaut,Salbei,traditionell_hmpc,1
Entzündungen im Mund- und Rachenbereich,Entzündungen des Zahnfleischs,Salbei,traditionell_hmpc,1
Entzündungen im Mund- und Rachenbereich,Hitzewallungen,Salbei,traditionell_hmpc,1
Entzündungen im Mund- und Rachenbereich,Hyperglykämie,Salbei,traditionell_hmpc,1
Entzündungen im Mund- und Rachenbereich,Hyperlipidämie,Salbei,traditionell_hmpc,1
Entzündungen im Mund- und Rachenbereich,Infektionen der Mundschleimhaut,Salbei,traditionell_hmpc,1
Entzündungen im Mund- und Rachenbereich,Mundschleimhautentzündung,Salbei,traditionell_hmpc,1
Entzündungen im Mund- und Rachenbereich,Rachenschleimhautentzündung,Salbei,traditionell_hmpc,1
